framework,iteration,reward_mean,reward_std,reward_rolling
eqmarl,425,14.6,5.043808085167397,15.370000000000001
eqmarl,426,16.8,3.4292856398964493,15.39
eqmarl,427,15.2,4.190465367951393,15.400000000000002
eqmarl,428,14.7,4.712748667179271,15.390000000000002
eqmarl,429,15.6,3.97994974842648,15.32
eqmarl,430,16.1,5.243090691567332,15.430000000000003
eqmarl,431,16.8,4.874423042781577,15.630000000000003
eqmarl,432,16.8,4.5563142999578075,15.98
eqmarl,433,16.2,4.214261501141095,15.98
eqmarl,434,16.9,5.769748694700663,15.97
eqmarl,435,16.3,4.196427051671457,16.14
eqmarl,436,16.8,4.354308211415448,16.14
eqmarl,437,15.1,6.394528911499267,16.130000000000003
eqmarl,438,15.2,5.075431016179808,16.180000000000003
eqmarl,439,17.1,4.182104733265297,16.330000000000002
eqmarl,440,15.0,4.8166378315169185,16.22
eqmarl,441,16.6,4.6303347611160905,16.200000000000003
eqmarl,442,16.6,4.737087712930805,16.18
eqmarl,443,16.8,3.487119154832539,16.240000000000002
eqmarl,444,16.9,3.014962686336267,16.240000000000002
eqmarl,445,16.5,4.05585995813465,16.26
eqmarl,446,17.2,2.9933259094191533,16.3
eqmarl,447,15.9,3.986226285598949,16.380000000000003
eqmarl,448,16.5,3.0083217912982647,16.51
eqmarl,449,17.4,4.1521078984053394,16.54
eqmarl,450,17.3,3.579106033634656,16.77
eqmarl,451,15.0,3.5777087639996634,16.61
eqmarl,452,15.7,4.24381903478459,16.52
eqmarl,453,17.6,2.6532998322843198,16.6
eqmarl,454,15.6,3.583294573433783,16.47
eqmarl,455,17.7,4.712748667179271,16.59
eqmarl,456,16.5,5.162363799656123,16.52
eqmarl,457,17.9,3.7269290307168443,16.72
eqmarl,458,18.8,4.019950248448357,16.95
eqmarl,459,18.5,3.4713109915419564,17.060000000000002
eqmarl,460,17.4,3.2924155266308657,17.07
eqmarl,461,16.5,4.780167361086848,17.220000000000002
eqmarl,462,16.5,3.4132096331752027,17.3
eqmarl,463,16.1,3.7536648758246924,17.150000000000002
eqmarl,464,17.4,6.1838499334961226,17.33
eqmarl,465,15.1,3.6728735344413916,17.07
eqmarl,466,17.9,4.1340053217188775,17.21
eqmarl,467,16.5,4.4328320518603,17.07
eqmarl,468,18.8,6.079473661428265,17.07
eqmarl,469,16.6,4.199999999999999,16.880000000000003
eqmarl,470,18.6,4.103656905736638,17.0
eqmarl,471,17.2,3.1240998703626617,17.07
eqmarl,472,18.5,3.6124783736376886,17.270000000000003
eqmarl,473,15.8,3.3105890714493698,17.240000000000002
eqmarl,474,18.0,2.756809750418044,17.3
eqmarl,475,17.0,4.6475800154489,17.490000000000002
eqmarl,476,17.0,4.711687595755898,17.400000000000002
eqmarl,477,16.8,3.789459064299283,17.43
eqmarl,478,19.0,3.794733192202055,17.45
eqmarl,479,18.5,4.780167361086848,17.64
eqmarl,480,18.6,3.693237062523877,17.64
eqmarl,481,17.8,3.8418745424597094,17.700000000000003
eqmarl,482,17.8,4.214261501141095,17.630000000000003
eqmarl,483,18.8,4.707440918375928,17.930000000000003
eqmarl,484,17.3,4.1,17.860000000000003
eqmarl,485,19.2,3.249615361854384,18.080000000000005
eqmarl,486,15.5,4.5661800227323495,17.930000000000003
eqmarl,487,17.2,4.534313619501853,17.970000000000002
eqmarl,488,16.9,5.107837115648854,17.76
eqmarl,489,18.6,3.8,17.770000000000003
eqmarl,490,17.8,5.509990925582365,17.69
eqmarl,491,17.8,6.705221845696084,17.690000000000005
