network_seed,quantum_target_iteration,classical_target_iteration,quantum_target_steps,classical_target_steps,quantum_time_s,classical_time_s,speedup_classical_over_quantum,quantum_favorable,agents,entanglement_rate_hz,p_success,base_latency_s,distance_km,memory_t2_s,quantum_channel_capacity,quantum_environment_steps,quantum_training_iterations,quantum_simulated_wall_time_s,quantum_compute_time_s,quantum_entanglement_generation_time_s,quantum_quantum_transmission_time_s,quantum_classical_communication_time_s,quantum_classical_bytes_transmitted,quantum_qubits_transmitted,quantum_entangled_states_generated,quantum_entangled_pairs_generated,quantum_entangled_resources_successfully_used,quantum_failed_quantum_transmissions,quantum_retries,quantum_states_discarded_memory_expiration,quantum_quantum_link_busy_time_s,quantum_quantum_link_utilization,quantum_usable,classical_environment_steps,classical_training_iterations,classical_simulated_wall_time_s,classical_compute_time_s,classical_entanglement_generation_time_s,classical_quantum_transmission_time_s,classical_classical_communication_time_s,classical_classical_bytes_transmitted,classical_qubits_transmitted,classical_entangled_states_generated,classical_entangled_pairs_generated,classical_entangled_resources_successfully_used,classical_failed_quantum_transmissions,classical_retries,classical_states_discarded_memory_expiration,classical_quantum_link_busy_time_s,classical_quantum_link_utilization,classical_usable
202,482,1581,24150,79100,1527.9145386880002,838.7080576,0.5489234092373958,False,2,1000,0.7,0.00025,10.0,1.0,8,24150,483,1527.9145386880002,253.57500000000002,807.982,90.24960000000002,376.10793868800005,77592336,2406648,807982,807982,193200,722988,614782,0,90.24960000000002,0.059067177983328924,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,1522.378728,838.7080576,0.5509194539927912,False,2,1000,0.7,0.00025,10.0,1.0,8,24150,483,1522.378728,253.57500000000002,804.361,89.86710000000001,374.57562800000005,77266000,2396450,804361,804361,193200,718858,611161,0,89.86710000000001,0.0590307118374292,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,877.568261024,838.7080576,0.9557183125804304,False,2,1000,0.85,0.00025,10.0,1.0,8,24150,483,877.568261024,253.57500000000002,370.165,47.801700000000004,206.026561024,41370128,1274704,370165,370165,193200,191438,176965,0,47.801700000000004,0.05447063450565324,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,879.342075968,838.7080576,0.9537904309613876,False,2,1000,0.85,0.00025,10.0,1.0,8,24150,483,879.342075968,253.57500000000002,371.268,47.935500000000005,206.563575968,41484496,1278278,371268,371268,193200,192388,178068,0,47.935500000000005,0.05451291517835252,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,877.6643265600001,838.7080576,0.9556137035753874,False,2,1000,0.85,0.00025,10.0,1.0,8,24150,483,877.6643265600001,253.57500000000002,370.213,47.8113,206.06502656000004,41378320,1274960,370213,370213,193200,191310,177013,0,47.8113,0.0544756104960949,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,674.847506496,838.7080576,1.2428112270204723,True,2,1000,0.95,0.00025,10.0,1.0,8,24150,483,674.847506496,253.57500000000002,237.306,33.8484,150.118106496,29463312,902616,237306,237306,193200,45318,44106,0,33.8484,0.050157109086392725,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,675.3367809279999,838.7080576,1.2419108232895397,True,2,1000,0.95,0.00025,10.0,1.0,8,24150,483,675.3367809279999,253.57500000000002,237.594,33.888600000000004,150.279180928,29497616,903688,237594,237594,193200,45501,44394,0,33.888600000000004,0.050180296641673644,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,674.8925392640001,838.7080576,1.2427282994040028,True,2,1000,0.95,0.00025,10.0,1.0,8,24150,483,674.8925392640001,253.57500000000002,237.327,33.8532,150.13733926400002,29467408,902744,237327,237327,193200,45246,44127,0,33.8532,0.05016087455481194,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,606.3674736,838.7080576,1.3831679536182824,True,2,1000,1.0,0.00025,10.0,1.0,8,24150,483,606.3674736,253.57500000000002,193.2,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0477928010022469,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,606.3674736,838.7080576,1.3831679536182824,True,2,1000,1.0,0.00025,10.0,1.0,8,24150,483,606.3674736,253.57500000000002,193.2,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0477928010022469,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,606.3674736,838.7080576,1.3831679536182824,True,2,1000,1.0,0.00025,10.0,1.0,8,24150,483,606.3674736,253.57500000000002,193.2,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0477928010022469,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,1510.3575898560002,838.7080576,0.5553042956403216,False,2,10000,0.55,0.00025,10.0,1.0,8,24150,483,1510.3575898560002,253.57500000000002,210.9109,205.9944,839.8772898560001,176361232,5493176,2109109,2109109,193200,2472685,1915909,0,205.9944,0.13638783383717748,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,1517.0893945920002,838.7080576,0.5528402351171657,False,2,10000,0.55,0.00025,10.0,1.0,8,24150,483,1517.0893945920002,253.57500000000002,212.0653,207.1083,844.3407945920001,177311824,5522882,2120653,2120653,193200,2486506,1927453,0,207.1083,0.13651687286081046,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,1510.546416672,838.7080576,0.5552348794734965,False,2,10000,0.55,0.00025,10.0,1.0,8,24150,483,1510.546416672,253.57500000000002,210.9333,206.02770000000004,840.010416672,176389584,5494062,2109333,2109333,193200,2472089,1916133,0,206.02770000000004,0.13639282959203292,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,798.3522035840001,838.7080576,1.0505489354633613,True,2,10000,0.7,0.00025,10.0,1.0,8,24150,483,798.3522035840001,253.57500000000002,80.4258,89.84880000000001,374.50260358400004,77250448,2395964,804258,804258,193200,719181,611058,0,89.84880000000001,0.11254280954777424,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,800.730738688,838.7080576,1.0474283264986504,True,2,10000,0.7,0.00025,10.0,1.0,8,24150,483,800.730738688,253.57500000000002,80.7982,90.24960000000002,376.10793868800005,77592336,2406648,807982,807982,193200,722988,614782,0,90.24960000000002,0.11270904892183144,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,798.453828,838.7080576,1.0504152252620924,True,2,10000,0.7,0.00025,10.0,1.0,8,24150,483,798.453828,253.57500000000002,80.4361,89.86710000000001,374.57562800000005,77266000,2396450,804361,804361,193200,718858,611161,0,89.86710000000001,0.11255140478830543,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,544.419761024,838.7080576,1.5405540313644617,True,2,10000,0.85,0.00025,10.0,1.0,8,24150,483,544.419761024,253.57500000000002,37.0165,47.801700000000004,206.026561024,41370128,1274704,370165,370165,193200,191438,176965,0,47.801700000000004,0.08780302153266757,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,545.200875968,838.7080576,1.5383468636415527,True,2,10000,0.85,0.00025,10.0,1.0,8,24150,483,545.200875968,253.57500000000002,37.1268,47.935500000000005,206.563575968,41484496,1278278,371268,371268,193200,192388,178068,0,47.935500000000005,0.08792263936643699,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,544.4726265600001,838.7080576,1.5404044513660697,True,2,10000,0.85,0.00025,10.0,1.0,8,24150,483,544.4726265600001,253.57500000000002,37.0213,47.8113,206.06502656000004,41378320,1274960,370213,370213,193200,191310,177013,0,47.8113,0.0878121280441107,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
